Rank Team                            W-L-T    Rating
  1  Alabama                         13-1-0  83.7592
  2  Oregon                          12-1-0  82.5368
  3  Texas A&M                       11-2-0  79.4556
  4  Kansas St                       11-2-0  75.3794
  5  Georgia                         12-2-0   73.763
  6  Oklahoma St                     8-5-0   71.8694
  7  Oklahoma                        10-3-0  71.5564
  8  Notre Dame                      12-1-0  70.8238
  9  Florida                         11-2-0  69.7843
 10  Florida St                      12-2-0  69.5734
 11  Oregon St                       9-4-0   69.3683
 12  South Carolina                  11-2-0  69.2862
 13  Stanford                        12-2-0  69.0577
 14  LSU                             10-3-0  68.7753
 15  Baylor                          8-5-0   67.1641
 16  Arizona St                      8-5-0   66.9043
 17  Clemson                         11-2-0  66.1861
 18  Texas                           9-4-0    65.823
 19  Ohio State                      12-0-0  65.4182
 20  Wisconsin                       8-6-0   65.3065
 21  Southern Cal                    7-6-0   64.9587
 22  Michigan                        8-5-0   64.3875
 23  UCLA                            9-5-0   63.1983
 24  Brigham Young                   8-5-0   62.4427
 25  Utah St                         11-2-0  62.1841
 26  Mississippi                     7-6-0   61.2196
 27  Nebraska                        10-4-0  60.9261
 28  TCU                             7-6-0    60.857
 29  Texas Tech                      8-5-0   60.3357
 30  Vanderbilt                      9-4-0   60.2975
 31  Penn State                      8-4-0   60.1992
 32  Northwestern                    10-3-0   60.167
 33  Arizona                         8-5-0   59.2031
 34  West Virginia                   7-6-0   58.7761
 35  Iowa St                         6-7-0   58.4987
 36  Fresno St                       9-4-0   58.4968
 37  Michigan St                     7-6-0   58.4897
 38  Missouri                        5-7-0   58.2672
 39  North Carolina                  8-4-0   58.2581
 40  Boise St                        11-2-0  58.0655
 41  Central Florida                 10-4-0  57.9661
 42  Northern Illinois               12-2-0  57.8972
 43  Mississippi St                  8-5-0   57.5929
 44  Syracuse                        8-5-0   56.6498
 45  San Jose St                     11-2-0  56.6104
 46  Cincinnati                      10-3-0  56.2598
 47  Tulsa                           11-3-0  56.2239
 48  Georgia Tech                    7-7-0   56.0892
 49  Washington                      7-6-0   55.9491
 50  Utah                            5-7-0   55.6289
 51  Louisiana Tech                  9-3-0   55.3676
 52  North Dakota St                 14-1-0  55.3073
 53  Louisville                      11-2-0  54.6717
 54  Tennessee                       5-7-0   54.4373
 55  Miami FL                        7-5-0   53.7043
 56  SMU                             7-6-0   53.0475
 57  San Diego St                    9-4-0   52.4971
 58  Arkansas St                     10-3-0  52.3291
 59  Pittsburgh                      6-7-0   52.2919
 60  Virginia Tech                   7-6-0   51.5319
 61  Rutgers                         9-4-0   51.2031
 62  North Carolina St               7-6-0   50.8726
 63  Arkansas                        4-8-0    50.793
 64  Iowa                            4-8-0    49.909
 65  Purdue                          6-7-0   49.7003
 66  Louisiana-Lafayette             9-4-0   49.6161
 67  California                      3-9-0   49.4896
 68  Kent St                         11-3-0  49.0374
 69  Sam Houston St                  11-4-0  48.6425
 70  Minnesota                       6-7-0   48.4271
 71  Louisiana-Monroe                8-5-0   47.7776
 72  Auburn                          3-9-0   46.7503
 73  Nevada                          7-6-0   46.2495
 74  Toledo                          9-4-0    45.897
 75  Ball St                         9-4-0   45.6581
 76  Duke                            6-7-0   45.3146
 77  Georgia Southern                10-4-0  45.1982
 78  Indiana                         4-8-0    44.489
 79  Rice                            7-6-0   44.4565
 80  Virginia                        4-8-0   44.2269
 81  Western Kentucky                7-6-0   43.9635
 82  South Florida                   3-9-0   43.5791
 83  Northern Iowa                   5-6-0   43.4097
 84  Kansas                          1-11-0   43.371
 85  Washington St                   3-9-0   43.1952
 86  Kentucky                        2-10-0  43.1506
 87  East Carolina                   8-5-0   43.1336
 88  Troy                            5-7-0   42.8619
 89  Connecticut                     5-7-0   42.7697
 90  Bowling Green                   8-5-0   42.5805
 91  Navy                            8-5-0   42.5548
 92  Maryland                        4-8-0   42.2336
 93  Boston College                  2-10-0  41.9393
 94  South Dakota St                 9-4-0   41.8389
