Rank Team                            W-L-T    Rating
 95  Ohio U.                         9-4-0   41.8033
 96  Temple                          4-7-0   41.4634
 97  Montana St                      11-2-0  41.3399
 98  Middle Tennessee St             8-4-0    40.932
 99  Houston                         5-7-0   40.7106
100  Eastern Washington              11-3-0  40.4335
101  NW Missouri St                  10-3-0  40.4104
102  Marshall                        5-7-0   40.3593
103  Cal Poly SLO                    9-3-0   40.2516
104  Wofford                         9-4-0   40.1552
105  UTEP                            3-9-0   39.2695
106  Western Michigan                4-8-0   38.7619
107  Indiana St                      7-4-0   37.9209
108  Central Arkansas                9-3-0   37.8536
109  Wyoming                         4-8-0   37.7285
110  Air Force                       6-7-0   37.5864
111  Florida Int'l                   3-9-0   37.4676
112  Towson                          7-4-0   37.4547
113  Southern Illinois               6-5-0   37.2647
114  Old Dominion                    11-2-0  37.2156
115  Youngstown St                   7-4-0   36.9252
116  Wake Forest                     5-7-0   36.8666
117  Illinois St                     9-4-0   36.8463
118  Texas St-San Marcos             4-8-0   36.8387
119  Illinois                        2-10-0  36.4261
120  Colorado St                     4-8-0   36.3885
121  Memphis                         4-8-0   35.9058
122  Appalachian St                  8-4-0   35.7608
123  Harvard                         8-2-0   35.6247
124  North Texas                     4-8-0   35.6136
125  Stony Brook                     10-3-0  35.6121
126  New Mexico                      4-9-0   35.5748
127  Florida Atlantic                3-9-0    35.384
128  Central Michigan                7-6-0    35.316
129  Villanova                       8-4-0   34.9402
130  Alabama-Birmingham              3-9-0   34.5898
131  Chattanooga                     6-5-0   34.4543
132  McNeese St                      7-4-0   34.3366
133  Buffalo                         4-8-0    34.132
134  UNLV                            2-11-0  33.6781
135  Minn St-Mankato                 13-1-0    33.49
136  Richmond                        8-3-0    33.428
137  Minnesota-Duluth                10-2-0  33.4209
138  Northern Arizona                8-3-0   33.2736
139  Eastern Kentucky                8-3-0   33.2144
140  Samford                         7-4-0   32.9134
141  Missouri St                     3-8-0   32.8253
142  Southern Utah                   5-6-0   32.4105
143  Army                            2-10-0  32.2991
144  Missouri Western                12-2-0  32.2506
145  James Madison                   7-4-0   31.9922
146  Montana                         5-6-0   31.9436
147  Ashland                         11-1-0  31.8957
148  Miami OH                        4-8-0   31.0488
149  Maine                           5-6-0   30.9239
150  Texas-San Antonio               8-4-0   30.4352
151  Tennessee-Martin                8-3-0   30.2824
152  The Citadel                     7-4-0    29.988
153  Akron                           1-11-0  29.9321
154  Henderson St                    10-1-0  29.9221
155  Valdosta St                     12-2-0  29.5981
156  Tulane                          2-10-0  29.4295
157  Hawai`i                         3-9-0   29.2778
158  Eastern Illinois                7-5-0   29.1897
159  Southern Miss                   0-12-0  29.0296
160  South Alabama                   2-11-0  28.8625
161  New Hampshire                   8-4-0   28.8147
162  Colorado                        1-11-0  28.6552
163  Eastern Michigan                2-10-0  28.2739
164  Portland St                     3-8-0   27.9072
165  Coastal Carolina                8-5-0   27.7342
166  North Dakota                    5-6-0   27.6902
167  Stephen F. Austin               5-6-0    27.653
168  Albany NY                       9-2-0    27.606
169  Jacksonville St                 6-5-0    27.322
170  UC-Davis                        4-7-0   27.1996
171  Murray St                       5-6-0   27.0071
172  Sacramento St                   6-5-0   26.3449
173  Bethune-Cookman                 9-3-0   25.8637
174  Winona St                       10-2-0  25.7219
175  Delaware                        5-6-0   25.5827
176  Furman                          3-8-0   25.5281
177  Michigan Tech                   7-3-0   25.0972
178  Tennessee St                    8-3-0   24.9325
179  William & Mary                  2-9-0   24.7819
180  Colgate                         8-4-0   24.6401
181  West Texas A&M                  12-3-0  24.3772
182  Weber St                        2-9-0   23.6266
183  Sioux Falls                     9-2-0    23.591
184  South Dakota                    1-10-0  23.4381
185  Ohio Dominican                  8-3-0    23.424
186  Northern Colorado               5-6-0   22.9979
187  Shippensburg                    11-2-0  22.8842
188  Princeton                       5-5-0   22.5597
189  Lehigh                          10-1-0   22.329
190  New Mexico St                   1-11-0  22.1546
191  Winston-Salem St                14-1-0  22.0101
192  Wagner                          9-4-0   21.4366
193  Idaho                           1-11-0  21.2341
194  Grand Valley St                 8-3-0   21.0854
195  Harding                         9-2-0   20.6953
196  Hillsdale                       7-4-0    20.376
197  Liberty                         6-5-0    20.374
198  Mount Union                     15-0-0  20.2488
199  Elon                            3-8-0   20.2184
200  St Cloud St                     7-4-0   20.2174
201  Midwestern St                   9-2-0   20.0077
202  Indiana PA                      12-2-0  19.6902
203  Fordham                         6-5-0   19.3319
204  Saginaw Valley St               8-3-0   18.9953
205  Brown                           7-3-0   18.8615
206  North Carolina A&T              7-4-0   18.5784
207  Pennsylvania                    6-4-0   18.4551
208  Dartmouth                       6-4-0   18.2583
209  Central Missouri                6-4-0    18.204
210  Pittsburg St                    7-3-0   18.0729
211  Western Carolina                1-10-0  18.0162
212  West Alabama                    8-4-0   18.0124
213  Augustana SD                    5-6-0   17.9401
214  Wayne St NE                     6-5-0   17.7576
215  Bemidji St                      7-4-0   16.8007
216  SE Missouri St                  3-8-0   16.6047
217  Colorado St-Pueblo              12-1-0  16.4646
218  Northwestern St                 4-7-0   16.2279
219  Emporia St                      10-2-0  16.1313
220  Massachusetts                   1-11-0  16.1179
221  Tennessee Tech                  3-8-0   15.9922
222  Northern St SD                  6-5-0   15.9351
223  SE Louisiana St                 5-6-0   15.7524
224  Delaware St                     6-5-0   15.6247
225  Ferris St                       7-4-0   15.5173
226  San Diego                       8-3-0   15.1398
227  Western Illinois                3-8-0   14.9945
228  Drake                           8-3-0    14.738
229  Indianapolis                    10-3-0  14.4457
230  Monmouth NJ                     5-5-0   14.3109
231  New Haven                       10-1-0  14.0451
232  Duquesne                        5-6-0   13.8764
233  St Francis PA                   5-6-0   13.7946
234  Florida A&M                     4-7-0   13.6103
235  Mary Hardin-Baylor              13-1-0  13.5286
236  Lenoir-Rhyne                    9-3-0   13.3147
237  Lindenwood MO                   8-4-0   13.1033
238  Chadron St                      9-3-0    12.845
239  Cornell NY                      4-6-0   12.8225
240  Lafayette                       5-6-0   12.8207
241  Abilene Christian               7-4-0     12.67
242  Findlay                         7-3-0    12.576
243  Morningside                     13-1-0  12.4722
244  South Carolina St               5-6-0   12.3668
245  Holy Cross                      2-9-0   12.3275
246  Southern Oregon                 9-3-0   12.3071
247  Southern Arkansas               8-3-0   12.2989
248  New Mexico Highlands            8-3-0   12.2825
249  Tarleton St                     6-4-0   12.1334
250  North Carolina Central          6-5-0   11.9628
251  Alabama St                      7-4-0   11.5726
252  Carson-Newman                   9-3-0   11.4726
253  Northwood                       5-6-0   11.2939
254  West Chester                    7-4-0   11.1421
255  Kutztown                        7-4-0   10.7956
256  California PA                   8-3-0   10.6356
257  Shepherd                        8-3-0   10.5689
258  Lamar                           4-8-0   10.5326
259  North Alabama                   5-5-0   10.4349
260  Wayne St MI                     5-5-0   10.0604
261  Howard                          7-4-0   9.86343
262  TAMU-Kingsville                 6-6-0   9.85354
263  Georgetown DC                   5-6-0   9.54377
264  Dayton                          6-5-0   9.25841
265  Robert Morris PA                4-7-0   8.34744
266  Morehead St                     4-7-0   8.30496
267  Nicholls St                     1-10-0  8.05204
268  SW Minnesota St                 4-7-0   8.02346
269  Bucknell                        3-8-0   7.94135
270  Bloomsburg                      10-2-0  7.78754
271  Georgia St                      1-10-0  7.67986
272  Jackson St                      7-5-0   7.54295
273  Arkansas-Pine Bluff             10-2-0  7.53017
274  UW-Platteville                  8-2-0    7.4695
275  Ouachita Baptist                6-4-0   7.40064
276  Colorado Mines                  6-5-0   7.31927
277  Washburn                        7-4-0    7.1544
278  Jacksonville FL                 7-4-0   6.73789
279  Central Washington              7-4-0   6.58487
280  Gardner-Webb                    3-8-0   6.56513
281  Missouri S&T                    10-1-0  6.18236
282  Norfolk St                      4-7-0   6.17157
283  Miles                           8-3-0   6.10759
284  Tuskegee                        10-2-0  6.00445
285  Linfield                        11-1-0  5.98973
286  Georgetown KY                   10-1-0  5.89501
287  Missouri Southern               6-5-0   5.83283
288  Concordia-St Paul               2-9-0   5.77346
289  Cumberlands KY                  10-2-0  5.63734
290  Charleston WV                   9-2-0   5.63702
291  Northern Michigan               4-7-0   5.63435
292  UW-Oshkosh                      13-1-0   5.6303
293  Butler                          8-3-0   5.52607
294  Sacred Heart                    2-9-0   5.52472
295  Slippery Rock                   6-5-0   5.34278
296  Alabama A&M                     7-4-0   5.22979
297  Bryant                          4-7-0   5.22925
298  Columbia                        3-7-0   5.11152
299  Marist                          4-7-0   5.10278
300  Yale                            2-8-0   4.76979
301  Angelo St                       5-6-0   4.62587
302  Morgan St                       3-8-0   4.61537
303  Mercyhurst                      9-2-0   4.48688
304  Hampton                         3-7-0   4.09412
305  Montana Tech                    8-3-0   3.85807
306  Adams St                        8-3-0   3.68889
307  Northeastern St OK              4-6-0   3.68062
308  Central Conn St                 2-8-0   3.65707
309  Glenville St                    6-5-0   3.31735
310  Austin Peay                     2-9-0   3.28792
311  Marian IN                       12-1-0  3.23257
312  North Central                   9-3-0   3.01661
313  Charleston Southern             5-6-0   2.98496
314  Concord                         7-4-0   2.95641
315  East Central OK                 6-5-0   2.63083
316  Carroll MT                      7-4-0   2.39892
317  West Georgia                    3-7-0   2.28794
318  St Xavier                       11-2-0   2.1701
319  Nebraska-Kearney                3-8-0    2.1043
320  St Thomas                       14-1-0   2.0751
321  Walsh                           3-8-0   2.06653
322  Wesley                          10-2-0  1.95453
323  Mars Hill                       6-4-0     1.843
324  Delta St                        3-7-0    1.6855
325  Western Oregon                  6-5-0    1.6027
326  Humboldt St                     7-4-0   1.59121
327  Edinboro                        4-6-0   1.30561
328  Mary                            4-7-0   1.18513
329  Fort Hays St                    5-6-0  0.770967
330  Upper Iowa                      2-9-0  0.00762343
331  Urbana                          7-4-0  -0.136222
332  VMI                             2-9-0  -0.233658
333  UW-Whitewater                   7-3-0  -0.255856
334  Truman St                       4-7-0  -0.502905
335  Central Oklahoma                2-8-0  -0.683014
336  UNC-Pembroke                    6-4-0  -0.738716
337  East Stroudsburg                5-5-0  -1.05258
338  Wingate                         6-5-0  -1.50333
339  SE Oklahoma St                  4-6-0  -1.58404
340  Rhode Island                    0-11-0 -1.85735
341  Missouri Valley                 12-1-0 -1.96961
342  Minot St                        3-8-0  -2.11593
343  Southern U.                     4-7-0  -2.15102
344  Bentley                         8-2-0  -2.31895
345  SW Baptist                      3-8-0   -2.8252
346  St Francis IN                   9-3-0   -2.8974
347  Prairie View A&M                3-8-0  -3.42978
348  Mississippi Valley St           5-6-0  -3.44412
349  Wheaton                         8-2-0  -3.79824
350  Presbyterian                    2-9-0  -3.81561
351  Idaho St                        1-10-0 -3.96545
352  MidAmerica Nazarene             8-3-0  -4.22815
353  St Augustine's                  6-4-0  -4.23485
354  Newberry                        5-6-0  -4.65507
355  St Ambrose                      9-2-0  -4.85601
356  Merrimack                       6-4-0  -4.86705
357  Fort Valley St                  8-4-0  -4.95325
358  Elizabeth City St               8-4-0  -4.97441
359  SW Oklahoma St                  3-7-0  -5.44078
360  American Int'l                  7-3-0  -5.52503
361  Gannon                          3-8-0   -5.5337
362  Tiffin                          3-8-0  -5.63314
363  McMurry                         8-3-0  -6.00477
364  Minn St-Moorhead                1-10-0 -6.11593
365  Hardin-Simmons                  6-4-0  -6.12764
366  Belhaven                        6-5-0  -6.26828
367  Incarnate Word                  2-9-0  -6.49349
368  Simon Fraser                    5-6-0  -6.51067
369  Northwestern IA                 9-3-0  -6.57622
370  West Liberty                    6-5-0  -6.63832
371  Lake Erie                       3-8-0   -7.1126
372  Rocky Mountain                  6-5-0  -7.51722
373  Salisbury                       9-3-0  -7.71163
374  Shorter                         6-5-0  -7.79981
375  Western New Mexico              4-7-0  -7.92888
376  Pacific Lutheran                7-3-0  -8.00598
377  C.W. Post                       3-7-0  -8.01887
378  Coe                             10-1-0 -8.10721
379  TAMU-Commerce                   1-9-0  -8.16382
380  Louisiana College               8-3-0  -8.20715
381  Arkansas Tech                   5-6-0  -8.38723
382  Notre Dame OH                   3-8-0  -8.42903
383  Azusa Pacific                   4-7-0  -8.46543
384  Chowan                          6-4-0   -8.6207
385  Grand View                      8-3-0  -8.69718
386  Stonehill                       5-5-0  -8.82561
387  Virginia Union                  5-5-0  -8.97398
388  Morehouse                       3-7-0  -8.98644
389  Colorado Mesa                   4-7-0  -9.06402
390  Catawba                         4-7-0  -9.38096
391  Eastern New Mexico              3-7-0  -9.66361
392  Heidelberg                      9-2-0  -9.93095
393  Concordia-Moorhead              8-2-0  -9.96473
394  Cal Lutheran                    8-2-0  -10.0089
395  Willamette                      8-2-0  -10.1119
396  Shaw                            4-6-0  -10.1887
397  Johns Hopkins                   10-2-0 -10.2773
398  Hobart                          12-1-0 -10.4479
399  UW-Eau Claire                   4-6-0  -11.1047
400  Malone                          1-9-0  -11.1781
401  Alcorn St                       4-7-0   -11.223
402  William Penn                    9-3-0  -11.2609
403  Grambling St                    1-10-0 -11.3964
404  Assumption                      3-7-0  -11.4391
405  Widener                         11-1-0 -11.4488
406  Montana St-Northern             3-7-0  -11.5601
407  Minnesota-Crookston             2-9-0  -11.5649
408  Johnson C. Smith                6-4-0  -11.5717
409  Black Hills St                  4-7-0  -11.6775
410  WV Wesleyan                     3-8-0  -11.6801
411  St Francis IL                   6-5-0  -11.7021
412  Davidson                        2-9-0  -12.0366
413  Clarion                         4-7-0  -12.0442
414  Bowie St                        5-5-0  -12.1214
415  Redlands                        6-3-0  -12.4088
416  Faulkner                        6-5-0  -12.5557
417  Montana-Western                 4-6-0  -12.6931
418  Bethel MN                       9-3-0  -12.9191
419  Birmingham-Southern             7-3-0  -12.9399
420  Savannah St                     1-10-0 -12.9784
421  Trinity TX                      7-3-0  -13.2513
422  Virginia St                     4-6-0  -13.3182
423  UW-La Crosse                    4-6-0  -13.3434
424  Fairmont St                     4-6-0  -13.3989
425  McKendree                       3-7-0  -13.6836
426  Albany St GA                    6-4-0  -13.7184
427  Augsburg                        7-3-0  -13.9532
428  Bethel TN                       9-4-0  -14.1994
429  Elmhurst                        10-2-0 -14.2631
430  Lincoln MO                      1-10-0 -14.7419
431  Tusculum                        2-9-0  -14.9946
432  Eastern Oregon                  4-6-0  -15.1098
433  Central St OH                   4-7-0  -15.1497
434  St John Fisher                  8-3-0  -15.2816
435  Dixie St                        3-8-0  -15.4278
436  Doane                           7-3-0  -15.6158
437  St John's MN                    5-5-0  -15.6375
438  Fayetteville St                 2-8-0  -15.7177
439  Baker                           8-3-0  -15.9073
440  Huntingdon AL                   6-3-0  -16.1788
441  Texas Southern                  2-9-0  -16.2284
442  Stillman                        6-5-0  -16.3323
443  Millikin                        5-5-0  -16.4406
444  North Greenville                5-6-0  -16.5576
445  Sul Ross St                     5-5-0   -16.929
446  Benedictine KS                  7-4-0  -17.0899
447  Rowan                           7-3-0  -17.3472
448  Bacone                          6-4-0  -17.5685
449  Menlo                           3-6-0  -17.5824
450  Langston                        6-4-0  -17.5859
451  UW-Stevens Point                2-8-0  -18.1706
452  Kentucky Christian              7-4-0  -18.2245
453  Illinois Wesleyan               6-4-0  -18.2587
454  Arkansas-Monticello             0-10-0 -18.4575
455  Quincy                          3-8-0  -18.5375
456  Utica                           6-4-0   -18.832
457  Thomas More                     7-3-0   -18.833
458  Brevard                         2-9-0  -18.8867
459  Franklin                        9-3-0  -19.0564
460  St Joseph's IN                  6-5-0  -19.2063
461  Western St CO                   1-10-0 -19.2795
462  UW-Stout                        3-7-0  -19.4441
463  Millsaps                        7-3-0  -19.5312
464  Robert Morris IL                8-3-0  -19.5635
465  Southern Nazarene               1-9-0  -19.5798
466  Lane                            5-5-0  -19.8678
467  John Carroll                    6-4-0  -19.9411
468  Washington and Lee              8-3-0  -20.0602
469  Wittenberg                      10-2-0 -20.0648
470  Lock Haven                      1-10-0 -20.0857
471  Cumberland TN                   8-3-0  -20.2084
472  Cortland St                     9-2-0  -20.2428
473  Ithaca                          6-4-0  -20.3407
474  Baldwin-Wallace                 7-3-0  -20.3461
475  Muhlenberg                      8-3-0  -20.4149
476  Alfred                          6-4-0  -20.4591
477  Southern Conn St                3-8-0    -20.48
478  Springfield                     8-3-0  -20.6326
479  Gettysburg                      7-3-0  -20.9064
480  Endicott                        9-2-0  -20.9319
481  Otterbein                       8-2-0  -20.9591
482  St Olaf                         7-3-0  -21.1855
483  Texas Lutheran                  4-6-0  -21.4701
484  Millersville                    2-9-0  -21.4836
485  Buffalo St                      6-4-0  -21.5545
486  Valparaiso                      1-10-0 -21.7405
487  Wartburg                        6-4-0  -21.8029
488  Nebraska Wesleyan               6-4-0  -21.9506
489  Union NY                        6-4-0  -22.0032
490  Delaware Valley                 8-3-0  -22.0453
491  Tabor                           8-2-0   -22.525
492  Concordia AL                    4-4-0    -22.56
493  Dubuque                         5-5-0  -22.6643
494  Hampden-Sydney                  6-4-0  -22.7696
495  Campbell                        1-10-0 -22.7746
496  Wabash                          8-2-0  -22.7921
497  Whitworth                       7-3-0  -23.1352
498  Framingham St                   10-2-0 -23.4281
499  Concordia NE                    5-6-0  -24.1553
500  Trinity Int'l                   4-7-0  -24.3216
501  Lindsey Wilson                  3-8-0   -24.569
502  Gustavus Adolphus               3-7-0  -24.6232
503  UW-River Falls                  2-8-0  -24.8401
504  Salve Regina                    9-2-0   -24.902
505  Augustana IL                    5-5-0  -24.9392
506  Ottawa                          8-3-0  -25.0503
507  Seton Hill                      0-11-0 -25.1514
508  Clark Atlanta                   2-8-0  -25.1525
509  East Texas Baptist              3-7-0  -25.1637
510  Benedict                        1-9-0  -25.2317
511  NW Oklahoma St                  3-7-0  -25.3388
512  Virginia U-Lynchburg            1-8-0  -25.6169
513  Edward Waters                   5-6-0  -25.7539
514  Evangel                         7-4-0  -25.8809
515  Brockport St                    6-4-0  -25.9813
516  Valley City St                  7-3-0  -26.4402
517  Franklin & Marshall             7-4-0  -26.5957
518  St Anselm                       2-9-0   -26.801
519  West Virginia St                2-9-0  -26.8331
520  Taylor                          4-6-0  -26.9737
521  Pacific OR                      3-6-0  -27.3885
522  Lycoming                        8-2-0  -27.7057
523  Centre                          6-4-0  -27.7343
524  OK Panhandle St                 3-6-0  -27.8082
525  William Jewell                  2-9-0  -28.0039
526  Chapman                         6-3-0  -28.1356
527  Siena Heights                   4-6-0  -28.1422
528  Central IA                      5-5-0  -28.3345
529  Kean                            5-4-0  -28.3384
530  Dickinson St                    2-9-0  -28.3634
531  Ursinus                         6-4-0  -28.4718
532  Hastings                        6-4-0  -28.7067
533  RPI                             5-4-0  -28.7161
534  Simpson                         6-4-0  -28.8132
535  Waynesburg                      10-1-0 -28.8222
536  Fort Lewis                      0-10-0 -29.0076
537  Randolph-Macon                  7-3-0  -29.1776
538  Wash & Jeff                     8-3-0  -29.3135
539  Bridgewater VA                  7-3-0     -29.7
540  Ohio Northern                   4-6-0   -30.074
541  Concordia IL                    10-1-0 -30.1668
542  Campbellsville                  3-8-0  -30.2357
543  Olivet Nazarene                 3-8-0  -30.3237
544  Dakota Wesleyan                 6-4-0   -30.343
545  Sewanee                         3-7-0  -30.4961
546  Adrian                          9-2-0  -30.6732
547  Albion                          6-4-0  -30.7029
548  Albright                        8-3-0  -30.7263
549  Midland U.                      4-6-0  -30.7913
550  Rhodes                          6-3-0   -30.868
551  Carroll WI                      8-2-0  -30.8687
552  Bridgewater St MA               9-2-0  -31.0967
553  St Mary KS                      6-5-0  -31.4115
554  Trine                           7-3-0  -31.5667
555  Rochester                       4-5-0  -31.8724
556  Muskingum                       3-7-0  -31.8867
557  Cheyney                         1-10-0 -31.9897
558  Pikeville                       3-8-0  -31.9984
559  Jamestown                       4-6-0  -32.0025
560  Kentucky St                     2-8-0  -32.0648
561  Susquehanna                     6-4-0  -32.5489
562  Webber Int'l                    4-6-0  -33.3253
563  Carnegie Mellon                 6-5-0  -33.5277
564  Ferrum                          7-3-0   -33.535
565  Emory & Henry                   6-4-0  -33.7186
566  South Dakota Tech               2-9-0  -33.8076
567  Livingstone                     2-8-0  -33.8465
568  Washington U.                   5-5-0  -34.0303
569  Maryville                       6-4-0  -34.0737
570  Grove City                      6-4-0  -34.1671
571  Western New England             6-4-0  -34.3659
572  Ohio Wesleyan                   9-1-0  -34.5174
573  Norwich                         7-3-0  -34.6483
574  Kentucky Wesleyan               2-9-0  -34.7195
575  Macalester                      6-4-0  -34.9364
576  Concordia WI                    7-3-0  -34.9469
577  Bethany WV                      3-7-0   -35.297
578  Illinois College                8-2-0  -35.3707
579  Union KY                        4-7-0  -35.4199
580  Whittier                        4-5-0  -35.5356
581  Friends                         6-5-0  -35.6823
582  Virginia-Wise                   3-8-0  -35.7089
583  Texas College                   2-9-0  -35.9065
584  Wisconsin Lutheran              7-3-0  -35.9232
585  Case Western Reserve            6-4-0  -36.0848
586  Central Methodist               2-8-0  -36.1607
587  Geneva                          3-7-0  -36.5363
588  McPherson                       4-5-0  -36.6171
589  Gallaudet                       7-3-0  -36.6178
590  Hope                            5-5-0  -36.9355
591  Mississippi College             2-8-0  -37.2018
592  St Norbert                      8-3-0  -37.4197
593  Carthage                        3-7-0  -37.6565
594  Lebanon Valley                  6-4-0  -37.8586
595  Christopher Newport             6-5-0   -37.908
596  Buena Vista                     4-6-0  -38.0074
597  Southern Virginia               4-6-0  -38.5028
598  Westminster PA                  3-6-0  -38.6382
599  Montclair St                    5-5-0  -38.6631
600  Lake Forest                     8-2-0  -38.6979
601  Lincoln PA                      1-9-0  -39.0326
602  Carleton                        3-7-0  -39.1209
603  Peru St                         5-6-0  -39.1337
604  Lewis & Clark                   4-5-0  -39.2813
605  Hartwick                        3-7-0  -39.3433
606  Thiel                           3-7-0  -39.4822
607  Point U.                        2-8-0  -39.5498
608  New Jersey                      4-6-0  -39.8282
609  Iowa Wesleyan                   3-8-0  -40.0394
610  Juniata                         3-7-0  -40.0768
611  Kansas Wesleyan                 6-5-0  -40.2929
612  Mount Ida                       8-3-0  -40.3883
613  Avila                           2-9-0  -40.6728
614  Methodist                       5-5-0  -40.8478
615  Hanover                         6-4-0  -40.9569
616  La Verne                        4-5-0  -40.9816
617  Mass Maritime                   5-4-0  -41.0617
618  Aurora                          5-5-0  -41.1667
619  Austin                          2-8-0  -41.2679
620  Coast Guard                     5-4-0  -41.7804
621  Waldorf                         4-7-0  -41.9697
622  Graceland                       5-6-0  -42.0239
623  Frostburg St                    3-7-0  -42.0966
624  Luther                          0-10-0 -42.1738
625  Pace                            0-9-0  -42.1777
626  SW Assem of God                 4-6-0  -42.2763
627  Benedictine IL                  5-5-0  -42.3354
628  Lindenwood-Belleville           4-6-0  -42.8272
629  Guilford                        5-5-0  -42.8765
630  Catholic                        3-7-0  -42.8991
631  Oberlin                         4-6-0  -42.9539
632  Monmouth IL                     5-5-0  -43.1617
633  Capital                         2-8-0  -43.1815
634  Merchant Marine                 5-5-0  -43.6758
635  St Scholastica                  8-3-0  -43.7795
636  Dickinson                       4-6-0  -43.8918
637  Denison                         4-6-0  -43.9963
638  Curry                           6-4-0  -44.1141
639  Ave Maria                       1-7-0  -44.2017
640  Shenandoah                      1-9-0  -44.2465
641  Chicago                         4-6-0  -44.4891
642  Manchester                      6-4-0  -44.8542
643  Briar Cliff                     1-10-0 -45.6498
644  Castleton St                    7-4-0  -45.7412
645  LaGrange                        3-7-0  -45.8243
646  Sterling                        3-7-0  -45.9833
647  St Lawrence                     0-10-0 -46.0818
648  Cornell IA                      4-6-0  -46.1639
649  Northwestern MN                 8-3-0  -46.3052
650  Dakota St                       2-9-0  -46.7283
651  Moravian                        2-8-0  -46.8821
652  William Paterson                5-5-0  -46.9894
653  Westfield St                    3-7-0  -46.9957
654  Worcester St                    6-4-0  -47.1129
655  DePauw                          2-8-0  -47.2641
656  Kalamazoo                       5-5-0  -47.4662
657  Ripon                           5-5-0  -47.8454
658  Wooster                         2-8-0  -47.8673
659  Kenyon                          6-4-0  -47.9181
660  North Park                      1-9-0  -48.2288
661  Mayville St                     3-6-0  -48.6596
