Rank Team                            W-L-T    Rating
156  Eastern Kentucky                6-5-0   21.4739
157  Ashland                         8-3-0   21.1807
158  Central Arkansas                7-4-0   21.1029
159  Coastal Carolina                6-6-0   20.7324
160  Cal Poly SLO                    7-4-0   20.6854
161  Carroll MT                      14-0-0  20.3327
162  Indiana St                      6-5-0   20.2126
163  Florida Atlantic                4-8-0    20.196
164  West Texas A&M                  8-4-0   19.9111
165  South Dakota                    4-7-0   19.7928
166  Sam Houston St                  6-5-0   19.7894
167  Louisiana-Lafayette             3-9-0   19.6825
168  Michigan Tech                   8-2-0   19.6226
169  Harding                         6-4-0   19.5988
170  Augustana SD                    11-2-0  19.4665
171  Hardin-Simmons                  8-2-0   19.4573
172  Ouachita Baptist                6-4-0   19.3361
173  McNeese St                      6-5-0   19.2247
174  Mount Union                     14-1-0  19.0022
175  Valdosta St                     8-3-0   18.9696
176  Sioux Falls                     13-1-0  18.9421
177  Mary Hardin-Baylor              12-1-0  18.6923
178  Pennsylvania                    9-1-0   18.5098
179  North Dakota                    3-8-0   18.3303
180  Maine                           4-7-0   18.3161
181  UC-Davis                        6-5-0   18.2832
182  Missouri Western                8-4-0    18.058
183  St Cloud St                     10-3-0  18.0124
184  West Alabama                    7-4-0   17.7797
185  South Carolina St               9-3-0   17.7566
186  Linfield                        9-2-0   17.7428
187  St Xavier                       13-1-0  17.7314
188  Buffalo                         2-10-0  17.6549
189  Northern Colorado               3-8-0   17.5625
190  Rhode Island                    5-6-0   17.4546
191  Old Dominion                    8-3-0   17.1388
192  Jacksonville FL                 10-1-0  17.0746
193  California PA                   10-2-0  16.9669
194  TAMU-Kingsville                 10-2-0  16.7717
195  North Central                   12-1-0  16.5297
196  Bethune-Cookman                 10-2-0  16.3504
197  Stony Brook                     6-5-0   16.1485
198  St Thomas                       12-1-0  15.9328
199  New Mexico St                   2-10-0  15.7954
200  Samford                         4-7-0   15.4915
201  Tennessee Tech                  5-6-0   15.4701
202  Portland St                     2-9-0   15.4648
203  Shepherd                        12-2-0  15.3641
204  Nebraska-Omaha                  5-6-0   15.2732
205  New Mexico                      1-11-0  14.9573
206  Illinois St                     6-5-0   14.9236
207  Jackson St                      8-3-0   14.9158
208  Lehigh                          10-3-0  14.7687
209  Tennessee-Martin                6-5-0   14.3899
210  Bloomsburg                      10-3-0  14.2394
211  Memphis                         1-11-0  14.0777
212  Robert Morris                   8-3-0   13.8147
213  Humboldt St                     8-3-0   13.8138
214  Grambling St                    9-2-0   13.7565
215  Wayne St MI                     9-2-0    13.296
216  Central Washington              8-3-0   13.2811
217  Hillsdale                       9-3-0   12.5071
218  Texas Southern                  9-3-0   12.4888
219  Harvard                         7-3-0    12.401
220  Akron                           1-11-0  12.2588
221  Winona St                       7-4-0   12.0046
222  Colgate                         7-4-0   11.3631
223  Wesley                          12-1-0  11.2104
224  Eastern Michigan                2-10-0    11.04
225  West Liberty St                 7-3-0   10.2755
226  Western Oregon                  7-4-0   10.2127
227  Northern Michigan               5-6-0   9.82315
