Rank Team                            W-L-T    Rating
  1  Alabama                         12-1-0  81.0581
  2  LSU                             13-1-0  80.3576
  3  Oklahoma St                     12-1-0  79.5115
  4  Oregon                          12-2-0  76.0612
  5  Stanford                        11-2-0  75.1304
  6  Wisconsin                       11-3-0  74.8437
  7  Oklahoma                        10-3-0  74.3781
  8  Boise St                        12-1-0   70.748
  9  Texas A&M                       7-6-0   67.4775
 10  Michigan                        11-2-0  67.4399
 11  Houston                         13-1-0  66.9041
 12  Southern Cal                    10-2-0  66.8203
 13  Arkansas                        11-2-0  66.4178
 14  Baylor                          10-3-0  64.1596
 15  Michigan St                     11-3-0  64.0891
 16  Missouri                        8-5-0   63.8884
 17  Georgia                         10-4-0   63.268
 18  South Carolina                  11-2-0   62.975
 19  Notre Dame                      8-5-0    62.943
 20  Texas                           8-5-0    62.772
 21  TCU                             11-2-0  62.3044
 22  Florida St                      9-4-0   61.3571
 23  Kansas St                       10-3-0  60.1198
 24  Nebraska                        9-4-0   58.8467
 25  West Virginia                   10-3-0  58.5279
 26  Arizona St                      6-7-0   57.7278
 27  Florida                         7-6-0    57.408
 28  Virginia Tech                   11-3-0  57.1655
 29  Cincinnati                      10-3-0  56.7927
 30  Vanderbilt                      6-7-0   56.6801
 31  California                      7-6-0   56.2824
 32  Southern Miss                   12-2-0  56.1712
 33  Penn State                      9-4-0   55.8394
 34  Mississippi St                  7-6-0   55.5962
 35  Ohio State                      6-7-0    55.246
 36  Tulsa                           8-5-0   54.8338
 37  Utah                            8-5-0   54.8257
 38  Toledo                          9-4-0   54.6898
 39  Miami FL                        6-6-0   54.4921
 40  Temple                          9-4-0     54.01
 41  Iowa                            7-6-0   54.0031
 42  Clemson                         10-4-0  53.2721
 43  Tennessee                       5-7-0   53.2013
 44  South Florida                   5-7-0   53.1801
 45  Brigham Young                   10-3-0   53.017
 46  Rutgers                         9-4-0   52.9772
 47  Illinois                        7-6-0   52.9123
 48  Georgia Tech                    8-5-0   51.8698
 49  Louisiana Tech                  8-5-0   51.8415
 50  Washington                      7-6-0   51.6313
 51  North Carolina                  7-6-0   51.2296
 52  Iowa St                         6-7-0   51.0219
 53  Pittsburgh                      6-7-0   50.9614
 54  Nevada                          7-6-0   50.3209
 55  Arizona                         4-8-0   50.3032
 56  Auburn                          8-5-0   50.2768
 57  Northwestern                    6-7-0   49.6197
 58  Northern Illinois               11-3-0  49.2882
 59  Louisville                      7-6-0   48.5318
 60  Texas Tech                      5-7-0    48.382
 61  UCLA                            6-8-0   48.1596
 62  SMU                             8-5-0   48.0213
 63  Air Force                       7-6-0   47.8954
 64  Arkansas St                     10-3-0  47.6208
 65  North Dakota St                 14-1-0  47.3508
 66  North Carolina St               8-5-0   47.3422
 67  San Diego St                    8-5-0   47.2969
 68  Purdue                          7-6-0   46.9562
 69  Washington St                   4-8-0   46.7692
 70  Oregon St                       3-9-0   46.7202
 71  Central Florida                 5-7-0   46.4158
 72  Utah St                         7-6-0   46.2449
 73  Western Michigan                7-6-0    46.208
 74  Connecticut                     5-7-0   46.0381
