Rank Team                            W-L-T    Rating
154  Eastern Kentucky                9-2-0   29.8252
155  Cal Poly SLO                    6-5-0   29.2502
156  Kent St                         1-9-0   28.6269
157  Richmond                        7-4-0   28.5391
158  William & Mary                  7-4-0   28.2653
159  Army                            3-7-0   28.1461
160  Valdosta St                     8-2-0   27.4448
161  North Alabama                   9-1-0   27.3877
162  Idaho                           1-9-0   27.2856
163  Colorado St-Pueblo              10-1-0  27.0625
164  Troy                            3-8-0   26.7676
165  North Carolina A&T              9-2-0   26.6197
166  Bryant                          8-2-0   26.2755
167  Charleston Southern             8-3-0   26.2406
168  Harding                         9-1-0    25.947
169  New Mexico St                   2-8-0      25.7
170  Tennessee-Martin                5-6-0   25.6287
171  UNLV                            2-9-0   25.5583
172  Alcorn St                       9-2-0   25.0318
173  The Citadel                     4-7-0   25.0044
174  Tarleton St                     5-5-0   24.9249
175  Angelo St                       8-2-0   24.5919
176  Ohio Dominican                  9-1-0   24.1815
177  Sacred Heart                    9-2-0   24.1316
178  Stony Brook                     5-6-0    24.022
179  Yale                            8-1-0   23.5377
180  Western Carolina                7-4-0   23.4187
181  South Dakota                    2-9-0   23.3893
182  Ashland                         8-2-0   23.2195
183  Abilene Christian               6-6-0   23.1307
184  Northern Arizona                7-4-0     23.07
185  Lenoir-Rhyne                    11-0-0  22.7677
186  Wofford                         5-5-0    22.765
187  John Carroll                    9-1-0   22.5999
188  Midwestern St                   6-4-0   22.5661
189  Sacramento St                   6-5-0   22.3812
190  SE Missouri St                  5-6-0   22.1472
191  Albany NY                       6-5-0   21.5457
192  Dartmouth                       7-2-0   21.4864
193  Bucknell                        8-2-0   21.3053
194  Weber St                        2-9-0   21.0972
195  South Carolina St               7-4-0    21.043
196  SMU                             0-9-0    20.977
197  Carroll MT                      9-1-0    20.905
198  Bethune-Cookman                 8-3-0   20.8924
199  West Georgia                    9-2-0   20.8673
200  Mary Hardin-Baylor              10-0-0  20.6581
201  Georgia St                      1-9-0   20.1229
202  Wesley                          8-1-0   20.0964
203  Mercer                          6-5-0   19.8096
204  Duquesne                        5-6-0   19.7498
205  Concord                         11-0-0  19.7045
206  UNC-Charlotte                   4-6-0   19.1726
207  Shepherd                        8-2-0   18.8948
208  Bloomsburg                      10-1-0  18.7457
209  Southern Utah                   2-9-0   18.7428
210  Lamar                           7-4-0   18.6739
211  Presbyterian                    6-5-0   18.5867
212  Maine                           5-5-0   18.5762
213  Michigan Tech                   9-1-0   18.3578
214  Eastern New Mexico              7-4-0   18.3291
215  West Chester                    10-1-0  18.2064
216  Portland St                     3-8-0   18.1989
217  Lafayette                       4-6-0    17.836
218  Tennessee St                    5-6-0   17.7276
219  Henderson St                    9-2-0   17.7155
