Rank Team                            W-L-T    Rating
659  Arizona Christian               2-7-0  -41.6463
660  Misericordia                    1-9-0  -42.4685
661  Averett                         2-8-0  -42.6155
662  Mass Maritime                   4-6-0   -42.945
663  Millikin                        3-7-0  -43.0086
664  Carleton                        2-8-0  -43.0736
665  Avila                           3-8-0  -43.3776
666  Pomona-Pitzer                   1-8-0   -43.695
667  Briar Cliff                     2-9-0  -43.7063
668  Lake Forest                     4-6-0  -43.7428
669  Merchant Marine                 2-8-0  -44.7957
670  Kalamazoo                       2-8-0  -44.9546
671  Bethel KS                       3-8-0  -45.0681
672  Waldorf                         3-7-0  -45.5229
673  Kenyon                          1-9-0  -45.6822
674  Southwestern TX                 1-8-0  -45.8913
675  Greensboro                      3-7-0  -46.2389
676  Maine Maritime                  3-6-0  -46.7081
677  Southwestern KS                 1-10-0 -46.7357
678  Alma                            2-8-0  -47.1278
679  Curry                           3-7-0  -47.1663
680  George Fox                      1-8-0  -47.1942
681  Wilmington                      0-10-0 -47.8379
682  Apprentice                      1-8-0  -48.6787
683  Grinnell                        3-7-0  -48.9333
684  Greenville                      7-3-0  -49.1797
685  SUNY-Maritime                   4-6-0  -49.2041
686  Beloit                          3-7-0  -49.2253
687  Grove City                      0-10-0 -49.3069
688  VA-Lynchburg                    0-8-0  -49.3664
689  Mount Ida                       5-5-0  -50.3946
690  Oberlin                         2-8-0  -50.5077
691  Alfred St                       1-7-0  -51.2697
692  Westminster MO                  6-4-0  -51.2781
693  Kansas Wesleyan                 2-9-0  -51.4413
694  Lewis & Clark                   0-9-0   -51.613
695  Allegheny                       1-9-0  -52.4156
696  FDU-Florham                     0-10-0 -53.4088
697  Gallaudet                       2-7-0  -54.0284
698  Dordt                           2-9-0  -54.7757
699  Anderson                        2-8-0  -54.9866
700  Plymouth St                     1-9-0  -55.4694
701  Iowa Wesleyan                   6-4-0  -56.4415
702  Missouri Baptist                1-10-0 -57.4749
703  Knox                            2-8-0  -57.7189
704  Nichols                         1-9-0  -58.1267
705  Earlham                         0-10-0 -58.6443
706  Crown                           4-6-0  -59.2561
707  Aurora                          1-9-0  -59.4695
708  Becker                          1-9-0  -60.5029
709  Rockford                        2-8-0  -61.3372
710  Mayville St                     2-9-0  -61.5454
711  MacMurray                       3-7-0  -62.4012
712  Concordia IL                    1-8-0  -63.6168
713  Texas College                   0-11-0 -66.9452
714  Martin Luther                   2-8-0   -67.686
715  Anna Maria                      0-10-0 -68.2574
716  Minnesota-Morris                0-10-0 -69.1228
717  Eureka                          2-8-0   -69.517
718  Lawrence                        2-8-0  -72.0554
719  Trinity Bible                   2-7-0  -73.3514
720  Haskell                         0-9-0  -77.9055
721  Maranatha Baptist               0-6-0  -97.5783
