Rank Team                            W-L-T    Rating
  1  Florida St                      14-0-0  87.2694
  2  Baylor                          11-2-0  79.0698
  3  Oregon                          11-2-0  78.3988
  4  Alabama                         11-2-0  76.3701
  5  Stanford                        11-3-0  73.4356
  6  Arizona St                      10-4-0   73.125
  7  Ohio State                      12-2-0  71.6267
  8  Washington                      9-4-0    71.306
  9  Oklahoma St                     10-3-0   71.277
 10  Auburn                          12-2-0  71.1995
 11  Missouri                        12-2-0  70.7993
 12  UCLA                            10-3-0  70.3969
 13  South Carolina                  11-2-0  69.5896
 14  Clemson                         11-2-0  69.3919
 15  Wisconsin                       9-4-0   69.2129
 16  LSU                             10-3-0  66.8511
 17  Michigan St                     13-1-0  65.9525
 18  Oklahoma                        11-2-0  65.4174
 19  Texas A&M                       9-4-0   65.4168
 20  Southern Cal                    10-4-0  65.2028
 21  Arizona                         8-5-0   64.1269
 22  Georgia                         8-5-0   64.0843
 23  Kansas St                       8-5-0   63.6627
 24  Louisville                      12-1-0  62.9502
 25  Brigham Young                   8-5-0   60.6207
 26  Georgia Tech                    7-6-0   60.3702
 27  Utah                            5-7-0   60.1517
 28  Texas                           8-5-0   59.9737
 29  Oregon St                       7-6-0   59.7109
 30  Mississippi                     8-5-0   59.5353
 31  Iowa                            8-5-0   59.3315
 32  Mississippi St                  7-6-0   59.2145
 33  North Dakota St                 15-0-0  59.1382
 34  Notre Dame                      9-4-0   58.5377
 35  North Carolina                  7-6-0   58.5169
 36  Central Florida                 12-1-0  58.4943
 37  Utah St                         9-5-0   58.4485
 38  Michigan                        7-6-0   57.7095
 39  Texas Tech                      8-5-0   57.0981
 40  Boise St                        8-5-0   56.3529
 41  Nebraska                        9-4-0   55.8617
 42  TCU                             4-8-0   55.7763
 43  Bowling Green                   10-4-0  55.7428
 44  Miami FL                        9-4-0   55.6112
 45  Virginia Tech                   8-5-0   55.5103
 46  Washington St                   6-7-0   55.4205
 47  Duke                            10-4-0  55.2036
 48  Houston                         8-5-0   54.9373
 49  Eastern Illinois                12-2-0  54.8387
 50  Fresno St                       11-2-0  54.3584
 51  Florida                         4-8-0    54.332
 52  Vanderbilt                      9-4-0   52.8062
 53  Indiana                         5-7-0   52.7388
 54  Marshall                        10-4-0  52.2821
 55  Minnesota                       8-5-0   52.2102
 56  East Carolina                   10-3-0  52.0763
 57  Pittsburgh                      7-6-0   51.9615
 58  Northern Illinois               12-2-0  51.7485
 59  Penn State                      7-5-0   51.4483
 60  Navy                            9-4-0   50.8934
 61  Cincinnati                      9-4-0   50.4654
 62  Northwestern                    5-7-0   50.2249
 63  Tennessee                       5-7-0   49.9277
 64  North Texas                     9-4-0   49.5613
 65  Boston College                  7-6-0   49.5462
 66  Colorado St                     8-6-0   48.2053
 67  Maryland                        7-6-0   47.6697
 68  Ball St                         10-3-0    47.15
 69  Toledo                          7-5-0    46.886
 70  Syracuse                        7-6-0   46.2371
 71  Illinois                        4-8-0   45.9628
 72  West Virginia                   4-8-0   45.8426
 73  Rice                            10-4-0   44.943
 74  Iowa St                         3-9-0   44.2522
 75  NW Missouri St                  15-0-0  44.1511
 76  Buffalo                         8-5-0   43.9191
 77  Arkansas                        3-9-0   43.5834
 78  San Jose St                     6-6-0    43.219
 79  Colorado                        4-8-0   42.9203
 80  San Diego St                    8-5-0   42.3577
 81  Florida Atlantic                6-6-0   42.0209
 82  North Carolina St               3-9-0   41.6643
 83  Kentucky                        2-10-0  41.6589
 84  Wake Forest                     4-8-0   41.6091
 85  SE Louisiana St                 11-3-0  41.5846
 86  Texas-San Antonio               7-5-0   41.3825
 87  Nevada                          4-8-0   41.2557
 88  Louisiana-Lafayette             9-4-0    41.012
 89  UNLV                            7-6-0    40.558
 90  Western Kentucky                8-4-0   40.4095
 91  Towson                          13-3-0  40.2139
 92  South Alabama                   6-6-0   40.0453
 93  Eastern Washington              12-3-0  39.9094
 94  Middle Tennessee St             8-5-0   39.8981
 95  Virginia                        2-10-0  39.8436
 96  Tulane                          7-6-0     39.76
 97  SMU                             5-7-0   39.7177
 98  Arkansas St                     8-5-0   39.5135
 99  Memphis                         3-9-0    39.513
100  Northern Iowa                   7-5-0   39.0189
101  Rutgers                         6-7-0   38.9648
102  South Dakota St                 9-5-0   37.8318
103  Temple                          2-10-0  37.8151
104  California                      1-11-0  37.7265
105  Missouri St                     5-7-0   37.6983
106  Kansas                          3-9-0   36.5684
107  Connecticut                     3-9-0   36.2399
108  Jacksonville St                 11-4-0  35.9592
109  Villanova                       6-5-0   35.9378
110  Hawai`i                         1-11-0  35.9343
111  Southern Illinois               7-5-0   35.8462
112  Ohio U.                         7-6-0   35.4738
113  Montana                         10-3-0  34.9193
114  Sam Houston St                  9-5-0   34.6845
115  Kent St                         4-8-0   34.6607
116  McNeese St                      10-3-0  34.4872
117  Youngstown St                   8-4-0   34.2887
118  New Hampshire                   10-5-0  33.9923
119  Pittsburg St                    10-2-0  33.9582
120  Coastal Carolina                12-3-0  33.6429
121  Cal Poly SLO                    6-6-0   33.5392
122  Troy                            6-6-0   33.4516
123  South Florida                   2-10-0  33.4462
124  Wyoming                         5-7-0   33.1767
125  Akron                           5-7-0   32.4434
126  William & Mary                  7-5-0    32.319
127  Tulsa                           3-9-0     31.99
128  Old Dominion                    8-4-0   31.9798
129  Princeton                       8-2-0   31.4892
130  Purdue                          1-11-0   30.938
131  Maine                           10-3-0  30.8452
132  Illinois St                     5-6-0   30.8414
133  New Mexico                      3-9-0   30.7837
134  Chattanooga                     8-4-0   30.2639
135  Louisiana-Monroe                6-6-0   30.0072
136  Central Michigan                6-6-0   29.9453
137  Georgia Southern                7-4-0   29.9171
138  Army                            3-9-0   29.8254
139  Tennessee St                    10-4-0  29.3325
140  Liberty                         8-4-0   29.1517
141  Harvard                         9-1-0    29.002
142  Central Arkansas                7-5-0    28.803
143  North Alabama                   10-3-0  28.1444
144  Texas St-San Marcos             6-6-0   27.8691
145  Northern Arizona                9-3-0   27.5149
146  Montana St                      7-5-0   27.4449
147  Murray St                       6-6-0   27.2241
148  Henderson St                    11-1-0   26.778
149  Central Missouri                6-4-0   26.7011
150  Samford                         8-5-0    26.581
151  Tennessee-Martin                7-5-0   26.4749
152  Missouri Western                8-3-0   26.4011
153  South Carolina St               9-4-0   26.3456
154  Fordham                         12-2-0  26.2706
155  Bethune-Cookman                 10-3-0  26.2247
156  James Madison                   6-6-0    26.032
157  Minnesota-Duluth                11-2-0  25.9759
158  Air Force                       2-10-0  25.9541
159  Richmond                        6-6-0   25.7586
160  Minn St-Mankato                 11-1-0  25.7372
161  West Texas A&M                  11-3-0  25.4608
162  Eastern Kentucky                6-6-0    25.443
163  Portland St                     6-6-0    24.947
164  Furman                          8-6-0   24.8888
165  South Dakota                    4-8-0   24.7608
166  Louisiana Tech                  4-8-0   24.7477
167  Western Illinois                4-8-0   24.0991
168  West Alabama                    8-3-0   23.8709
169  Colorado St-Pueblo              11-1-0  23.8031
170  Stony Brook                     5-6-0   23.7304
171  Washburn                        8-3-0   23.2083
172  Ohio Dominican                  10-1-0  23.1421
173  Dartmouth                       6-4-0   22.8317
174  The Citadel                     5-7-0   22.2385
175  Brown                           6-4-0   22.1926
176  Delaware                        7-5-0   22.0014
177  Alabama-Birmingham              2-10-0   21.671
178  Grand Valley St                 12-3-0  21.5208
179  Georgia St                      0-12-0  21.0271
180  Western Michigan                1-11-0  21.0224
181  Southern Utah                   8-5-0   21.0116
182  Appalachian St                  4-8-0   20.7463
183  Wofford                         5-6-0   20.6186
184  Lamar                           5-7-0   20.5437
185  Emporia St                      9-2-0   20.5041
186  Massachusetts                   1-11-0  20.4795
187  Tennessee Tech                  5-7-0   20.4721
188  Harding                         9-2-0   20.2733
189  Abilene Christian               6-5-0   20.0475
190  UC-Davis                        5-7-0   19.8414
191  Sacramento St                   5-7-0    19.794
192  UTEP                            2-10-0  19.5098
193  Midwestern St                   7-3-0   19.4348
194  St Cloud St                     12-2-0  19.3288
195  Lenoir-Rhyne                    13-2-0  19.1686
196  Ferris St                       8-3-0   18.6921
197  Northwestern St                 6-6-0    18.116
198  San Diego                       8-3-0   17.7806
199  UNC-Pembroke                    9-2-0   17.6457
200  New Mexico St                   2-10-0  17.1389
201  Colorado Mines                  8-3-0   17.0066
202  Yale                            5-5-0     16.92
203  Idaho                           1-11-0  16.8655
204  Lafayette                       5-7-0    16.849
205  UW-Whitewater                   15-0-0   16.754
206  Winston-Salem St                10-2-0  16.4873
207  Missouri Southern               7-3-0   16.1237
208  Sacred Heart                    10-3-0  15.9178
209  Indiana St                      1-11-0  15.3691
210  Tarleton St                     7-3-0   15.1912
211  SE Missouri St                  3-9-0    15.057
212  Southern Miss                   1-11-0  14.9346
213  Miami OH                        0-12-0   14.932
214  Saginaw Valley St               9-3-0   14.8858
215  North Carolina A&T              7-4-0   14.6881
216  Pennsylvania                    4-6-0   14.6693
217  Slippery Rock                   9-3-0   14.1998
218  Linfield                        11-1-0  13.8373
219  Carson-Newman                   10-3-0  13.0407
220  Idaho St                        3-9-0   12.7807
221  Alabama St                      8-4-0   12.4917
222  North Central                   13-1-0  12.1789
223  Shepherd                        11-1-0  12.1754
224  Lehigh                          8-3-0    12.122
225  Elon                            2-10-0  12.0797
226  Chadron St                      8-3-0   12.0465
227  Charleston Southern             10-3-0  11.8898
228  Grand View                      14-0-0  11.8439
229  Eastern Michigan                2-10-0  11.7268
230  Stephen F. Austin               3-9-0   11.7229
231  Mary Hardin-Baylor              13-1-0  11.6264
232  Florida Int'l                   1-11-0    11.29
233  Holy Cross                      3-9-0   11.1363
234  West Chester                    13-2-0  11.0787
235  Bucknell                        6-5-0   11.0614
236  North Dakota                    3-8-0   10.8612
237  Ouachita Baptist                7-3-0   10.8516
238  Monmouth NJ                     6-6-0   10.3239
239  Findlay                         8-3-0    10.296
240  Valdosta St                     6-4-0   10.1327
