Rank Team                            W-L-T    Rating
147  Southern California             1-1-0  -26.5682
148  Fort Oglethorpe                 0-1-0  -28.2218
149  Tufts                           0-1-0  -28.5438
150  Fort Des Moines                 0-1-0  -28.7596
151  Boston College                  0-1-0  -29.5438
152  Des Moines                      0-1-0  -29.7596
153  U.S. Marines                    1-1-0  -31.0202
154  Hoboken Navy                    0-1-0  -33.4308
155  Wabash                          0-2-0  -34.1558
156  Foundation                      0-1-0  -35.9936
157  St. Joseph's (Pennsylvania)     0-2-0  -36.6836
158  USS Minnesota                   0-1-0  -37.9607
159  Camp Greene                     0-0-1  -38.5867
160  Davidson                        2-1-1  -38.5867
161  Howard Payne                    0-1-0  -39.4299
162  Hillsdale                       0-1-0  -39.4746
163  American                        1-0-0  -41.8007
164  Camp Harrison                   0-1-0  -42.1255
165  Norwich                         0-1-0  -42.4142
166  Charleston Navy                 1-0-0   -42.554
167  Fremont Ammuntion               0-1-0  -42.8518
168  Camp Baker                      0-1-0  -43.8518
169  Idaho                           0-1-0  -44.8518
170  Lafayette                       3-4-0  -45.4064
171  Middlebury                      0-1-0  -48.4142
172  Citadel                         0-2-1   -48.554
173  Johns Hopkins                   0-0-1  -48.8007
174  Maryland                        4-1-1  -48.8007
175  Virginia Military Institute     1-3-0  -49.8007
176  Virginia Tech                   7-0-0  -51.0016
177  Stanford                        0-4-0  -52.5085
178  New York University             0-1-0  -52.8007
179  McDaniel                        0-1-0  -53.8007
180  St. John's (Maryland)           0-1-0  -53.8007
181  Muhlenberg                      1-1-0  -56.0163
182  Tennessee                       0-1-0  -56.8884
183  North Carolina                  0-2-0  -57.2941
184  Franklin & Marshall             0-1-0  -58.4064
185  Washington & Lee                1-2-0  -61.8557
186  Gallaudet                       0-1-0  -62.8007
187  South Carolina                  2-1-1  -65.4978
188  Camp Perry                      0-1-0  -65.8518
189  Ursinus                         0-3-0  -67.7454
190  Oglethorpe                      0-1-0   -69.909
191  Camp Sherman                    0-1-0  -71.3384
192  Erskine                         1-0-1  -71.9135
193  Morgan                          0-1-0  -72.2218
194  Wake Forest                     1-2-0  -74.9787
195  Presbyterian                    2-0-0  -76.0175
196  2nd Developmemt Regiment        1-0-0  -76.0175
197  Camp Humphreys                  0-1-0  -78.0016
198  Belmont A.C.                    0-1-0  -81.0016
199  Furman                          3-5-1  -82.0175
200  Wofford                         0-3-0  -88.8096
201  Camp Sevier                     0-1-0  -89.6102
202  North Carolina State            1-3-0  -93.0788
203  Bailey Military                 0-1-0  -96.0175
204  48th Infantry                   0-2-0  -101.517
205  11th Cavalry                    0-1-0  -102.256
206  Guilford                        0-1-0  -147.079
